test/stochastic/0/hammer-v1/success,test/stochastic/1/push-wall-v1/success,test/stochastic/2/faucet-close-v1/success,test/stochastic/3/push-back-v1/success,test/stochastic/4/stick-pull-v1/success,test/stochastic/5/handle-press-side-v1/success,test/stochastic/6/push-v1/success,test/stochastic/7/shelf-place-v1/success,test/stochastic/8/window-close-v1/success,test/stochastic/9/peg-unplug-side-v1/success,epoch,directory,method,seed,test/stochastic/average_success
0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_115,packnet,15,0.26
0.9,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_115,packnet,15,0.3299999999999999
0.9,0.7,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_115,packnet,15,0.35
0.8,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,300,cl_115,packnet,15,0.45
0.9,0.8,1.0,1.0,0.0,0.9,0.8,0.0,0.0,0.0,350,cl_115,packnet,15,0.54
0.7,0.8,1.0,1.0,0.0,0.9,0.9,0.9,0.1,0.0,400,cl_115,packnet,15,0.6300000000000001
0.9,0.5,1.0,1.0,0.0,1.0,0.9,1.0,0.8,0.0,450,cl_115,packnet,15,0.7100000000000001
0.7,0.5,1.0,1.0,0.0,1.0,0.9,0.8,0.6,1.0,500,cl_115,packnet,15,0.75
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_116,packnet,16,0.04
0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_116,packnet,16,0.12
0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_116,packnet,16,0.21
0.2,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_116,packnet,16,0.29
0.4,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,250,cl_116,packnet,16,0.37
0.5,0.8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,300,cl_116,packnet,16,0.43
0.7,1.0,1.0,1.0,0.0,1.0,0.7,0.0,0.0,0.0,350,cl_116,packnet,16,0.54
0.4,0.8,1.0,1.0,0.0,1.0,0.8,0.6,0.0,0.0,400,cl_116,packnet,16,0.5599999999999999
0.3,0.9,1.0,1.0,0.0,0.9,0.9,0.3,1.0,0.0,450,cl_116,packnet,16,0.6300000000000001
0.8,0.6,1.0,1.0,0.0,1.0,1.0,0.7,0.9,1.0,500,cl_116,packnet,16,0.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_117,packnet,17,0.1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_117,packnet,17,0.2
1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_117,packnet,17,0.2799999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_117,packnet,17,0.4
1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_117,packnet,17,0.39
0.8,0.9,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,300,cl_117,packnet,17,0.45
1.0,1.0,1.0,1.0,0.1,1.0,0.9,0.0,0.0,0.0,350,cl_117,packnet,17,0.6
0.8,0.7,1.0,1.0,0.0,1.0,0.7,0.4,0.0,0.0,400,cl_117,packnet,17,0.56
0.9,0.9,1.0,1.0,0.0,1.0,1.0,0.3,1.0,0.0,450,cl_117,packnet,17,0.71
0.9,0.7,1.0,1.0,0.0,1.0,0.9,0.5,1.0,1.0,500,cl_117,packnet,17,0.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_118,packnet,18,0.1
1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_118,packnet,18,0.18
1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_118,packnet,18,0.2799999999999999
1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_118,packnet,18,0.35
1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_118,packnet,18,0.37
1.0,0.9,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,300,cl_118,packnet,18,0.47
1.0,0.9,1.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,350,cl_118,packnet,18,0.52
1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.9,0.0,0.0,400,cl_118,packnet,18,0.65
1.0,0.7,1.0,1.0,0.0,1.0,0.4,1.0,1.0,0.0,450,cl_118,packnet,18,0.7100000000000001
1.0,0.9,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,500,cl_118,packnet,18,0.85
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_119,packnet,19,0.08
1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_119,packnet,19,0.19
1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_119,packnet,19,0.29
1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_119,packnet,19,0.38
1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_119,packnet,19,0.37
